Disease name	List of shared genes
Mastodynia	MIPEP;LINC00340;CCDC63;TBX5;CAMKK1;CAMSAP1L1;TRIP11;PAQR4;C6orf10;POU3F2;NAA25;BRAP;NAV2;PLEKHA1;FOXG1;TIMP2;SH2B3;WTAP;EPAS1;ZNF280B;BTBD1;CENPC1;COL5A1;
Varicose Veins	MYH9;PELI2;MTAP;NCR3;SLC34A1;DISC1;TCF7L2;SP7;BDNF;HORMAD2;BAT1;SERPINH1;RGS14;RAB38;CAMKK1;MSH5;ANTXR1;WDR41;BAG6;MTMR3;BTNL2;NOG;CDT1;RELN;NINJ2;UQCC;QKI;PICALM;CEP250;PDLIM5;SH3GL2;ZFAND3;CDK6;NOTCH4;ASH2L;C16orf47;HLA-DRB1;PHACTR1;ABO;EPS8;LRRC18;TARDBP;TNFSF11;BAI3;LOC100505844;
Mood Disorders	BET1L;SPTBN1;CRP;FREM2;PCDP1;ADARB2;SLC12A7;ADAMTS9;SMAD3;DKKL1;TF;PDGFD;PBLD;UBASH3A;BTBD9;TAS1R2;TNIP1;SLC24A2;CAPN5;TNFSF13;FAM113B;ICOSLG;CTBP2;CDH13;PSORS1C1;
"Aplastic anemia, idiopathic"	WDR66;UNC13B;KIAA1462;PCSK5;ITGAM;STX4;VKORC1;LRP1;STAT6;BNC2;CPEB1;DACH1;SHROOM3;CNNM2;DNM1;MACROD2;KCNB2;TAB1;SKAP2;RYR2;ARSB;ZNRD1;PRNP;SLC35F1;NUBPL;SEZ6L2;
"Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"	BTNL2;HLA-DRA;NSF;SIAE;WNT3;PCSK5;NAA25;HIST1H2BJ;TRIB3;CDKN2B;DISC1;BIN2;IL4R;CEP152;TTN;C6orf10;PTPRD;APOB;BRAP;ATXN2;SPTLC3;HLA-DRB1;CCHCR1;ITGAX;ERC2;CDKN2B-AS1;CAPZA1;SH2B3;LBH;C14orf102;LEKR1;NKAPL;KCNQ1;CDH8;ZBTB38;POP1;BAT2;ALPK1;ITGA9;CMTM8;HSD17B6;TMEM38B;WDR41;MMEL1;DYNC1H1;RNF212;SLC25A43;TTC3;DNM3;SCN5A;KCTD15;AFAP1L2;CRHR1;FOXO6;PBX2;EXTL2;NOTCH4;POU5F1;NUBPL;MMP3;PRKAG2;HNF4A;ASAH1;TRIM10;PLEKHM1;LIPC;CHRNA3;CD8B;CTLA4;CD247;UBE2D1;NOS1AP;PARK2;INO80D;PDE4B;GPLD1;DLEU7;C6orf97;PDE3A;ZNRD1-AS1;VSTM2B;MRAS;TF;LOC100289473;MICB;HLA-DQB1;CETP;MACROD2;PCIF1;CELSR2;TSEN15;CTBP2;DLG2;PLA2R1;LRRC16A;CTSH;HCG27;POLR1D;FAM131C;MAPT;MARC1;MAL2;NOD2;PTGER4;SLC6A1;CTNND2;
"Alveolitis, Extrinsic Allergic"	DCAF12;FAM177B;DOCK6;HNF4A;INSR;CTLA4;NCF4;PRICKLE2;RPN2;DUT;IGF2R;TNFSF15;C14orf181;TSHR;FARP2;LOC100287944;PSMD6;KCNQ1;OSBPL10;FHIT;PON1;
Endocrine Gland Neoplasms	CDH4;TYK2;SAE1;ACADL;TBC1D30;PLEKHA1;ERAP1;POLR3G;EPHA1;ARL6;ITPR3;PADI4;KCNC4;GPC5;SLC34A1;BAIAP2L1;ADARB2;ATP8B3;MYO18B;
Kidney Neoplasms	MUC22;HLA-DPA1;ZFP90;COL11A1;HAS3;PHEX;INSR;LOC285696;IGF2BP2;ZNF492;PROX1;IRF4;EDNRA;HIST1H2BJ;CPEB4;TNFSF15;HLA-B;SGSM2;TOX3;HSD17B6;STXBP6;ZNF536;MFHAS1;RNF5P1;SEZ6L2;GLI3;FADS1;PLEKHF2;MEIS2;ACSM1;CDC42EP3;LOC441167;PDXDC1;GATA3;RNF213;PPP1R3B;FADS2;C11orf10;ZNF433;WDR7;C20orf196;TMEM229B;ITGAM;RBBP8;FDFT1;PSCA;MYC;ATL1;
Hemiplegia	FUT6;MDGA2;C8orf80;C6orf97;SEZ6L2;CAPZB;TNRC6B;TFF1;CSMD1;BRD1;PADI6;CETP;AKT3;ANXA9;PLAG1;ZNF498;C9orf5;MC4R;KCNK12;
Keratitis	SUSD1;CDK5RAP1;CDH8;NOTCH4;RGS14;WLS;MMEL1;HLA-DQA2;MAP2K5;STX17;MTNR1B;SLC2A9;ACE;MCPH1;CD247;CBS;ZBTB38;TP63;PLEK;KCNJ12;TNFRSF11B;BICD1;TSEN2;MYPN;LAMC2;FHIT;BTNL2;PBX2;MMRN1;FGF1;CNTN4;PSMB8;FADS3;
Ankylosis	ATF1;GRIK5;IRS1;THADA;MAP3K1;SCN5A;BET1L;C6orf97;IL27;SLC6A6;RAD51B;TMCO1;ABO;TNIP1;CTNNA2;CR1L;ATXN2L;MAPT;KIAA1217;CYP1A1;SIK3;ARL14;MCM8;ST3GAL4;CDH4;
Basal Ganglia Cerebrovascular Disease	CDKN2B-AS1;CDKN2B;TNNT3;TMEM38B;C6orf97;CCDC26;LBH;ETS1;EPHA4;CDH13;LRRN4;RPS6KB1;ANGPTL6;MKL1;TRAF1;CDK6;LOC391642;NKX3-1;VCAN;BCMO1;FARP1;IL23R;PHF19;PSMD6;
Alcoholism	SLFN14;BCAP29;KCNK12;SDC4;ANKLE1;GHR;FTO;CFI;MRPS30;MAPT;CCHCR1;ATP2A2;AFAP1L2;LOC100289473;PI16;PARP1;SYCP2L;BAD;GARNL3;GRM8;ZBTB40;FOXO1;IRF5;NFATC4;PVRL2;TNFRSF19;PARK2;PPAP2B;HHEX;BANP;FRMD6;MTNR1B;PROCR;PLA2G12A;
Glomerulonephritis	COG5;ELMO1;EPDR1;WNT4;ATXN1;MRC1;SLC27A1;CDH13;MAVS;SGSM2;PON1;PHEX;HHIP;CCDC60;BICD1;TSEN2;MDGA2;FHIT;RNF149;ATP8B3;NUBPL;EEFSEC;LINC00340;HHEX;CABLES1;
Urethritis	JAZF1;FBXL20;EHBP1L1;HHIP;DTNB;IGF2BP1;UBASH3B;SLIT3;BTNL2;OSBPL1A;MYO18B;CCHCR1;ZNF330;MYT1L;AGER;ABCA1;STK11;UNC13C;SIX1;
Glycosuria	LRP5;TMEM175;SLC22A3;PLCB1;ANTXR2;CSF2RB;RUNX3;UGT1A10;TBX5;MEIS1;SUCLG2;ATP10D;RPL5;THSD7B;BUD13;
"Depression, Postpartum"	BET1L;SPTBN1;PCDP1;ADARB2;CRP;TNFSF13;ADAMTS9;PDGFD;FREM2;TNIP1;SLC12A7;SIK3;TF;CAPN5;DKKL1;MMAB;SMAD3;SRPRB;PBLD;UBASH3A;PSORS1C1;BTBD9;FAM113B;DBC1;SLC24A2;ICOSLG;ELMO1;FGFR2;
"Keratosis, Seborrheic"	TERT;IRF4;SPATS2L;TTC7B;ZBTB40;TSHR;PPIL6;CDK10;BNC2;REL;THADA;F13A1;LMO4;CATSPER4;TYR;MKL1;UTS2D;ULK4;TOMM40;SPTLC3;ESRRG;MAST4;VRK2;VGLL3;SLC45A2;NXPH2;PRL;TXNDC6;MAP3K1;RYR2;WWOX;MOBP;
"Renal Failure, Progressive, with Hypertension"	SFPQ;PLA2R1;SASH1;CCND3;IRF1;HHEX;TRPC5;DACH1;IL28B;TF;NOS1AP;FGF5;CUBN;BST1;PAQR4;UMOD;DGKH;ATP8B1;PEX14;PCDH9;LEF1;SLCO1C1;TYK2;ST3GAL4;RBMS3;DLEU7;CMIP;EDIL3;CNTN4;CELSR2;DIRC3;DSC3;CDKN2B-AS1;C20orf194;UGT1A10;MACROD2;EFEMP1;MSRA;FADS3;MMRN1;ANK3;TNFRSF11A;DNAJC6;PSORS1C1;HHIPL1;GCK;TOX;BANP;AR;CYP1A1;PCGEM1;LBH;RUNX3;ZMIZ1;PKNOX1;KIF11;SIAE;FAF1;IRF5;ZNF292;
Dysuria	CABLES1;C9orf5;TMEM79;PTPRG;CDH4;KCNB2;KSR2;CSMD1;VSTM2B;NXPH1;TCL6;DCC;DIRAS2;SOCS2;FREM2;MC1R;TCF4;CDKAL1;ZNF498;NCAM2;TP63;CUBN;HLA-DRA;
Rheumatic Fever	SULF1;ATM;TNPO3;NOG;C15orf32;SACS;ZNF248;MAD2L1;TACC3;OPA3;KCNQ1;ATPBD4;FUT8;SOCS6;UBE2Q2;HLA-DQB1;
Meningitis	ZFP36L1;PRIM1;FGF1;SLC2A9;TTC7B;PDZRN4;HLA-DRA;SDC4;REL;POP1;MECOM;
"Cholestasis with Gallstone, Ataxia, and Visual Disturbance"	CBS;NOS1AP;KLHL13;BCR;C10orf67;HLA-B;TOMM40;LBH;MC4R;NNMT;PELI2;WNT3;ILKAP;LMX1B;PDE7B;NSF;LINGO2;HLA-C;CDC42BPB;NLRP3;TGM5;STARD3NL;EHBP1;MAPT;C6orf129;CRHR1;ADRB1;DYSF;C6orf10;ZNF365;NAT2;ITGAX;NCAPD3;SLC22A12;EPHA5;PRUNE2;PKN2;POPDC3;FBN2;PHACTR1;MTOR;CETP;
Periapical Diseases	PLCL2;BICD1;ATP2B2;AAK1;SATB2;NUTF2;PUS10;MYH9;LRP1B;GNA15;UQCC;SLCO3A1;TF;ICOSLG;EFEMP1;DAB2IP;IL12RB2;FOXO6;EPS15;PHLDB1;MTAP;TRIM4;PTPRK;
Sleep Apnea Syndromes	ESRRG;SLCO3A1;MTCH2;MAP2K5;HCG9;ME2;PROX1;TSHZ2;ELMO1;PLEK;TFEB;HMGB1;CMTM7;BACH2;SAE1;IL12B;ATF7IP;GABBR1;NINJ2;PCGEM1;KHDRBS2;CHRNA3;FDPSP6;SMOC2;ARPP21;C11orf49;STXBP5;WWOX;CDKL1;OR10J3;
Sensation Disorders	MKL1;FBN2;IL1RAP;RBBP8;APOB;GHSR;PEX5L;ZDHHC19;CETP;OSBPL10;BAI3;BCMO1;TSEN2;CHL1;
Dysthymic Disorder	TBC1D30;FREM2;PLXNA1;GATA3;SP8;BET1L;DRD2;MAST4;EPHA1;ETV6;USP40;SCAMP3;NKX2-1;PTGFR;ITM2A;GPLD1;SEL1L3;MX2;SFPQ;FARP2;BARD1;
Diverticulosis	RUNX3;SLC9A9;BMP6;BNC2;TNFSF4;RPSAP52;ZNF492;RBMS1;CAMK4;PALMD;RAB3GAP1;CXCL12;PSMD6;IL2RA;TFF1;RAD51B;FOXO3;PANK1;BCMO1;
