gene name	list of shared diseases
BANP	"Alcohol-Related Disorders;Proteinuria;Thrombocytopenia;""Renal Failure, Progressive, with Hypertension"";Anorexia;Alcoholism;"
LPIN2	"Skin Neoplasms;Linear IgA Bullous Dermatosis;""Menopause, Premature"";Alzheimer Disease;"
IBSP	Chronic Disease;Meniere Disease;Cellulitis;Heart Failure;
GGT1	"Hallux Valgus;""Corneal Dystrophy, Fuchs Endothelial, 3"";Corneal Opacity;Endocarditis;Abdominal pain;"
NAPRT1	"Thrombocytopenia;Choroid Diseases;Glaucoma;""Glaucoma 1, Open Angle, A"";""Rheumatoid Arthritis, Systemic Juvenile"";Cystic Kidney Disease;"
EREG	Periodontitis;Thrombocytopenia;Lipoma;Cellulitis;Chondrocalcinosis;Migraine Disorders;Lymphadenitis;Gastrointestinal Diseases;
ZNF521	"Sunburn;Dupuytren Contracture;""Phobia, Specific"";Skin Neoplasms;Pneumothorax;Otitis Externa;Psoriasis;Epilepsy;Urinary Bladder Neck Obstruction;"
NOS1AP	"Cholestasis with Gallstone, Ataxia, and Visual Disturbance;Hearing Loss;Orbital Cellulitis;""Menopause, Premature"";""Renal Failure, Progressive, with Hypertension"";Hallucinations;Colonic Neoplasms;Aortic Aneurysm;Spondylosis;Thrombocytopenia;Melanoma;Postoperative Nausea and Vomiting;""Carbohydrate Metabolism, Inborn Errors"";Gangrene;Torsion dystonia with onset in infancy;Hemorrhagic Septicemia;""Genital Neoplasms, Male"";Chronic Disease;Alkalosis;Gout;Bacterial Infections;Gestational Diabetes Insipidus;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Intervertebral Disc Degeneration;Renal Colic;Osteoarthritis;Osteomyelitis;Neutropenia;Mental Disorders;Endometriosis;Hereditary Breast and Ovarian Cancer Syndrome;Hallux Rigidus;Choroid Diseases;Inflammatory Bowel Disease;"
CMTM7	Sleep Apnea Syndromes;Dyspepsia;
FRAS1	Colles' Fracture;Hammer Toe Syndrome;Granulosa cell tumor of the ovary;
CTBP2	"Postoperative Nausea and Vomiting;Chronic Disease;""Tooth Eruption, Ectopic"";Major Depressive Disorder;Accessory pancreas;Uveitis;Mood Disorders;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";""Abnormalities, Radiation-Induced"";"
UBASH3B	"Dermatitis, Seborrheic;Urethritis;Pleurisy;""Parathyroid Glands, Agenesis Of"";"
CMTM8	"Hypothyroidism;Adenocarcinoma in Situ;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";""Corneal Dystrophy, Fuchs Endothelial, 3"";Melanoma;Sweat Gland Diseases;Knee Dislocation;Orbital Cellulitis;Skin Neoplasms;Retinal Detachment;Chronic Disease;"
FGF7	"Thyrotoxicosis;""Goiter, Multinodular "";""Pneumonia, Bacterial"";Iatrogenic Disease;""Muscular Dystrophy, Pseudohypertrophic, With Internalized Capillaries"";Gastrointestinal Hemorrhage;Dysmenorrhea;Graves Disease;Gastrointestinal Diseases;Skin Neoplasms;"
GAK	Trigeminal Nerve Diseases;Scoliosis;Skin Neoplasms;
DISC1	"Varicose Veins;Atherosclerosis;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Spondylosis;""Foot Deformities, Acquired"";""Sleep Apnea, Central"";Cardiac Conduction Defect;Respiratory System Abnormalities;""Insomnia, Fatal Familial"";Chronic Disease;Rhabdomyolysis;"
RAB3GAP1	"Hernia, Femoral;Essential Tremor;Water-Electrolyte Imbalance;Retinal Hemorrhage;Osteoporosis;""Lupus Erythematosus, Systemic"";Colonic Neoplasms;""Lupus Erythematosus, Discoid"";Erythema;Spermatocele;Diverticulosis;""Gastritis, Atrophic"";Upper Extremity Deep Vein Thrombosis;"
C11orf49	Erectile Dysfunction;Kidney Diseases;Labyrinthitis;Bone Neoplasms;Temporomandibular Joint Disorders;Myelodysplastic-Myeloproliferative Diseases;Sleep Apnea Syndromes;
